loss,mae,val_loss,val_mae
1.5061308145523071,0.8302679061889648,0.5765647888183594,0.5494848489761353
0.7003549933433533,0.5999680757522583,0.47307300567626953,0.48117345571517944
0.5950204730033875,0.5536031723022461,0.4417162835597992,0.4634147882461548
0.6550405621528625,0.5297667384147644,0.4474846124649048,0.4605175256729126
0.524955153465271,0.5123488903045654,0.42648905515670776,0.4548195004463196
0.5014325976371765,0.5018190145492554,0.41999951004981995,0.4455375075340271
0.47547274827957153,0.4922022819519043,0.3981083631515503,0.45140770077705383
0.45976346731185913,0.48247694969177246,0.3953265845775604,0.435621440410614
0.44291403889656067,0.4731006622314453,0.3892984986305237,0.43934255838394165
0.4286217987537384,0.468121200799942,0.39691421389579773,0.42764124274253845
0.4300632178783417,0.46294957399368286,0.38188859820365906,0.42124584317207336
0.40911436080932617,0.4535951018333435,0.3689887225627899,0.4244624972343445
0.40504223108291626,0.4489842653274536,0.36906254291534424,0.4265975058078766
0.4010683596134186,0.4492088854312897,0.37180018424987793,0.42628759145736694
0.3873521685600281,0.44310930371284485,0.36368781328201294,0.4218847155570984
0.39105024933815,0.4384370446205139,0.3546704053878784,0.4141235947608948
0.3816872239112854,0.4357036054134369,0.3566233813762665,0.4131184220314026
0.3736031651496887,0.4319418966770172,0.35707414150238037,0.42283114790916443
0.3721410930156708,0.4296983778476715,0.34553274512290955,0.4118540585041046
0.37521007657051086,0.43088218569755554,0.34484511613845825,0.40728554129600525
0.3730265498161316,0.4298531711101532,0.34269145131111145,0.41313594579696655
0.3663172423839569,0.42699378728866577,0.3428152799606323,0.4096396863460541
0.35531601309776306,0.418796569108963,0.3412996530532837,0.4041805565357208
0.3578573763370514,0.42146173119544983,0.33507832884788513,0.399394154548645
0.3577871322631836,0.42001718282699585,0.3330812454223633,0.3981265425682068
0.3481235206127167,0.4175274074077606,0.3391193449497223,0.40506651997566223
0.346130907535553,0.41465094685554504,0.3357655704021454,0.406745046377182
0.3541210889816284,0.41828835010528564,0.3327234983444214,0.4020140469074249
0.350404292345047,0.4180486798286438,0.3276391923427582,0.39822712540626526
0.3476378321647644,0.41466599702835083,0.3339650332927704,0.40481653809547424
0.34780651330947876,0.41266414523124695,0.32763388752937317,0.39452987909317017
0.3441109359264374,0.41450679302215576,0.3273439109325409,0.40365585684776306
0.34384801983833313,0.41281378269195557,0.32609644532203674,0.4005027115345001
0.34129226207733154,0.4109644591808319,0.32199013233184814,0.3960226774215698
0.3354751765727997,0.4100134074687958,0.32351696491241455,0.3979266285896301
0.337403267621994,0.4083574116230011,0.3202725946903229,0.3914460837841034
0.34161898493766785,0.4118587374687195,0.31679677963256836,0.3895162343978882
0.33629873394966125,0.4067452549934387,0.32017379999160767,0.3984801173210144
0.3379423916339874,0.4073789119720459,0.3180485963821411,0.38533952832221985
0.33513736724853516,0.4085555672645569,0.3235774040222168,0.390107661485672
0.3316713273525238,0.405150443315506,0.3215116262435913,0.3919715881347656
0.3343839645385742,0.40815144777297974,0.32209542393684387,0.3902522623538971
